block_ID,administrative_subdivision,Year,Month,hotels,wifi,Index
2956,1.0,2020,1,0.5107855107855107,0.0,0.35754985754985746
3048,1.0,2020,1,4.171754171754172,3.5753424657534243,3.9928306599539476
3231,1.0,2020,1,5.49043549043549,0.3561643835616438,3.9501541583733357
3413,1.0,2020,1,10.0,0.2465753424657534,7.073972602739726
3412,1.0,2020,1,6.440781440781442,0.0,4.508547008547009
3411,1.0,2020,1,3.878713878713879,0.0,2.715099715099715
3322,1.0,2020,1,3.8665038665038662,1.7397260273972603,3.2284705147718844
3044,1.0,2020,1,0.20350020350020348,0.1506849315068493,0.18765562190219723
3321,1.0,2020,1,9.804639804639804,0.0,6.863247863247862
3410,1.0,2020,1,1.6035816035816035,0.0136986301369863,1.1266167115482182
3320,1.0,2020,1,1.5262515262515264,0.0,1.0683760683760684
197,10.0,2020,1,0.15466015466015465,0.0,0.10826210826210825
3140,1.0,2020,1,4.833129833129833,0.19178082191780824,3.4407251297662254
3049,1.0,2020,1,1.8030118030118034,0.273972602739726,1.34430004293018
2955,1.0,2020,1,1.0052910052910051,1.3835616438356162,1.1187721968543884
3230,1.0,2020,1,2.2873422873422875,0.0,1.601139601139601
3323,1.0,2020,1,2.313797313797314,0.0,1.6196581196581197
3045,12.0,2020,1,0.14855514855514854,0.3287671232876712,0.20261874097490534
3046,1.0,2020,1,1.0154660154660151,0.0,0.7108262108262106
3050,1.0,2020,1,2.0004070004070003,2.890410958904109,2.267408187956133
3229,1.0,2020,1,2.2588522588522593,0.7123287671232876,1.7948952113335677
3047,1.0,2020,1,2.5803825803825804,0.0,1.8062678062678061
3319,1.0,2020,1,1.4814814814814814,0.0,1.037037037037037
3139,1.0,2020,1,2.5946275946275947,0.0,1.8162393162393162
3226,1.0,2020,1,0.04680504680504681,0.0,0.03276353276353276
2957,1.0,2020,1,1.5527065527065533,0.0,1.0868945868945872
3501,1.0,2020,1,0.7203907203907203,0.0,0.5042735042735041
2954,12.0,2020,1,0.6919006919006919,0.0,0.4843304843304843
3137,1.0,2020,1,0.6613756613756614,7.164383561643835,2.6122780314561136
2865,1.0,2020,1,0.3276353276353277,0.0,0.22934472934472938
3502,1.0,2020,1,2.433862433862433,0.0,1.703703703703703
2049,13.0,2020,1,0.2136752136752137,0.0273972602739726,0.15779182765484134
3232,2.0,2020,1,2.9080179080179085,0.0,2.0356125356125356
3141,1.0,2020,1,0.40496540496540495,0.0,0.28347578347578345
3504,2.0,2020,1,0.30118030118030115,0.0,0.21082621082621078
3138,1.0,2020,1,0.38054538054538056,10.0,3.266381766381766
1480,10.0,2020,1,0.008140008140008141,0.0,0.005698005698005698
3217,8.0,2020,1,0.3785103785103785,0.0,0.2649572649572649
3136,1.0,2020,1,0.5677655677655677,0.0,0.3974358974358974
3227,1.0,2020,1,0.03663003663003663,0.0,0.02564102564102564
6608,0.0,2020,1,0.022385022385022383,0.0,0.015669515669515667
1571,10.0,2020,1,0.006105006105006105,0.3561643835616438,0.11112281934199741
3135,1.0,2020,1,0.14652014652014653,0.0,0.10256410256410256
-1,0.0,2020,1,0.8811558811558812,0.2054794520547945,0.6784529524255551
2776,0.0,2020,1,0.4497354497354497,0.0,0.31481481481481477
3225,1.0,2020,1,0.006105006105006105,0.0,0.004273504273504273
2685,1.0,2020,1,0.8221408221408222,0.0,0.5754985754985755
3318,1.0,2020,1,0.14245014245014245,0.1643835616438356,0.1490301682082504
2866,1.0,2020,1,0.5881155881155882,0.0,0.4116809116809117
2775,13.0,2020,1,2.1204721204721206,0.0,1.4843304843304843
3316,1.0,2020,1,0.0,0.0,0.0
4989,0.0,2020,1,0.0,0.0,0.0
3220,8.0,2020,1,0.01221001221001221,0.0,0.008547008547008546
7155,0.0,2020,1,0.0020350020350020353,0.0,0.0014245014245014246
3409,7.0,2020,1,0.22385022385022385,0.0,0.15669515669515668
3500,7.0,2020,1,0.5718355718355719,0.0,0.40028490028490027
4836,0.0,2020,1,0.0,0.0,0.0
2953,12.0,2020,1,0.8302808302808302,0.0,0.5811965811965811
3134,8.0,2020,1,0.5453805453805454,0.0,0.3817663817663817
4778,5.0,2020,1,0.008140008140008141,0.0,0.005698005698005698
1388,10.0,2020,1,0.0,0.0,0.0
7378,0.0,2020,1,0.0,0.0,0.0
